datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-08-30 12:00:00,2020S108,112.3914,88.2322,,,,-4332.110612925172,,
2020-08-30 13:00:00,2020S108,112.50163,88.2362,0.10335675040285947,0.12641280831949842,0.16328752543002556,-4339.633223677072,,
2020-08-30 14:00:00,2020S108,112.61457,88.2406,0.09988507202844868,0.1354310782681018,0.16828132568704435,-4343.589405527787,,
2020-08-30 15:00:00,2020S108,112.7178,88.2452,0.10112463171344965,0.13545085427147435,0.16903586915815533,-4345.200992052331,,
2020-08-30 16:00:00,2020S108,112.83403,88.2496,0.11463335977939457,0.12040727778381428,0.16624896907235465,-4345.055450745119,,
2020-08-30 17:00:00,2020S108,112.96716,88.2532,0.12641861347543687,0.10234193296633333,0.1626515818439445,-4343.05233461866,,
2020-08-30 18:00:00,2020S108,113.1096,88.2564,0.12790130904179697,0.08727655059953728,0.15484166473904512,-4339.821115542803,,
2020-08-30 19:00:00,2020S108,113.24643,88.259,0.1138654877116504,0.06919976363412964,0.13324397389312367,-4336.46465414785,,
2020-08-30 20:00:00,2020S108,113.35857,88.261,0.09352995589986203,0.0571693760379967,0.10961838443985573,-4333.84360473284,,
2020-08-30 21:00:00,2020S108,113.4512,88.2628,0.07430802484912105,0.05115126975152937,0.09021161208054823,-4332.125010095156,,
2020-08-30 22:00:00,2020S108,113.52142,88.2644,0.051329041671104136,0.04814357893938294,0.07037382121191474,-4330.937602656798,,
2020-08-30 23:00:00,2020S108,113.56379,88.266,0.03159572025214034,0.05718106715692347,0.06532965620188202,-4330.528651801683,,
2020-08-31 00:00:00,2020S108,113.5908,88.2682,0.02075048617007102,0.07223251360600617,0.07515396661611531,-4330.494654263203,,
2020-08-31 01:00:00,2020S108,113.60941,88.2708,0.020056924227176205,0.09029369976387312,0.09249449943917286,-4330.379342894036,,
2020-08-31 02:00:00,2020S108,113.63499,88.2742,0.03061596121482804,0.10534552408240584,0.10970422291463809,-4329.7572566440585,,
2020-08-31 03:00:00,2020S108,113.677,88.2778,0.046766384948803585,0.10233920062722272,0.11251847291088973,-4328.321388513573,,
2020-08-31 04:00:00,2020S108,113.73842,88.281,0.06282438876430926,0.0903011605919057,0.11000546999060642,-4326.193068349062,,
2020-08-31 05:00:00,2020S108,113.81618,88.2838,0.075527867404829,0.07826110941540913,0.1087624015993214,-4323.499726542548,,
2020-08-31 06:00:00,2020S108,113.906,88.2862,0.07879994323520755,0.060191536348886465,0.09915872176420616,-4320.430176233509,,
2020-08-31 07:00:00,2020S108,113.99122,88.2878,0.07077416016694879,0.045137947421545636,0.08394293326282529,-4317.69468947242,,
2020-08-31 08:00:00,2020S108,114.06338,88.2892,0.05687870726338754,0.0391177391864513,0.06903176702803834,-4315.25056812881,,
