datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-05-18 04:00:00,2019T66,8.87805,83.34753,-0.024430086952560378,-0.04332076583153664,0.04973447396666113,-4004.006471769921,-3.5789999961853027,-2.2230000495910645
2020-05-18 05:00:00,2019T66,8.87181,83.34603,-0.019922908612756085,-0.048301806829565565,0.0522492758858235,-4016.3564491211732,-3.196000099182129,-2.234999895095825
2020-05-18 06:00:00,2019T66,8.86666,83.34433,-0.01669137911366136,-0.055848951009958486,0.0582898573135045,-4026.269997584398,-3.2909998893737793,-2.3440001010894775
2020-05-18 07:00:00,2019T66,8.86227,83.34233,-0.012530335123073087,-0.06324533517662055,0.06447465951751584,-4036.136338480685,-3.0769999027252197,-2.575000047683716
2020-05-18 08:00:00,2019T66,8.8595,83.34014,-0.006424090947020483,-0.06701897921379038,0.06732616519120971,-4039.3593304059636,-2.9240000247955322,-2.7990000247955322
2020-05-18 09:00:00,2019T66,8.8586,83.33789,-0.0007697548716490282,-0.0701888522191197,0.07019307300866555,-4038.7311680609178,-2.746999979019165,-3.010999917984009
2020-05-18 10:00:00,2019T66,8.85906,83.33549,0.002715947419313615,-0.07396259317468262,0.07401244192369337,-4034.760190094763,-1.2829999923706055,-2.753000020980835
2020-05-18 11:00:00,2019T66,8.86015,83.33299,0.003890835268367955,-0.0765288419494944,0.07662768591844771,-4034.236149891598,-0.7039999961853027,-2.9570000171661377
2020-05-18 12:00:00,2019T66,8.86128,83.33042,0.004050142363418809,-0.07864226129808007,0.07874648509768205,-4034.460067556309,-0.1899999976158142,-3.117000102996826
2020-05-18 13:00:00,2019T66,8.86246,83.32778,0.00301640726605764,-0.08045382463079093,0.08051035095263705,-4035.4116314217595,0.17599999904632568,-3.122999906539917
2020-05-18 14:00:00,2019T66,8.863,83.32509,0.0015791072543381024,-0.08362388432640576,0.08363879249222093,-4037.2930530474796,0.6039999723434448,-3.200000047683716
2020-05-18 15:00:00,2019T66,8.86336,83.32224,0.003669915060715352,-0.08664298688667638,0.08672067488896544,-4037.1187557833396,1.1510000228881836,-3.2769999504089355
2020-05-18 16:00:00,2019T66,8.86509,83.31935,0.007429315206492537,-0.08724700976869626,0.08756275143013953,-4036.963647078329,1.8700000047683716,-3.2200000286102295
2020-05-18 17:00:00,2019T66,8.86759,83.31646,0.010472233985276379,-0.08739816582847601,0.08802333255918098,-4038.5306183972993,2.5290000438690186,-3.1419999599456787
2020-05-18 18:00:00,2019T66,8.87105,83.31356,0.014027523538610392,-0.08830405738457357,0.08941128545773364,-4035.768325585944,2.921999931335449,-3.4649999141693115
2020-05-18 19:00:00,2019T66,8.87557,83.31061,0.01835981540243719,-0.08860610974052628,0.09048826169709392,-4031.4796900557085,2.6989998817443848,-3.510999917984009
2020-05-18 20:00:00,2019T66,8.88149,83.30769,0.02301208800288246,-0.08694590598556191,0.08993968402158514,-4028.6837208684715,2.5769999027252197,-3.8989999294281006
2020-05-18 21:00:00,2019T66,8.88865,83.30485,0.028020543046900392,-0.08453082772608213,0.08905398176780066,-4028.7559915825,2.3489999771118164,-3.4800000190734863
2020-05-18 22:00:00,2019T66,8.89741,83.30209,0.03269746427026027,-0.08105931765019914,0.08740558991060488,-4029.5008017073787,3.625999927520752,-2.7339999675750732
2020-05-18 23:00:00,2019T66,8.90722,83.29948,0.03610955440071625,-0.07622916581665201,0.0843491887342191,-4033.1048755758798,3.859999895095825,-2.6700000762939453
2020-05-19 00:00:00,2019T66,8.91791,83.29704,0.03707328275249223,-0.07019174329028632,0.07938078558552877,-4032.791956621061,3.944999933242798,-2.6089999675750732
2020-05-19 01:00:00,2019T66,8.92826,83.29483,0.03407098205413582,-0.06385229105712649,0.07237366158608559,-4023.2865187956972,4.065000057220459,-2.3929998874664307
2020-05-19 02:00:00,2019T66,8.93724,83.29281,0.028104034515646782,-0.05947494764619975,0.06578074302996939,-4012.859538865058,4.289999961853027,-2.0209999084472656
2020-05-19 03:00:00,2019T66,8.9442,83.29089,0.024021370824913,-0.05751227063404197,0.06232726152969716,-4006.8440604924385,4.546000003814697,-1.9490000009536743
2020-05-19 04:00:00,2019T66,8.95086,83.289,0.02506981548826443,-0.05811592643787829,0.06329262638213477,-4000.6831215208463,4.695000171661377,-1.8910000324249268
2020-05-19 05:00:00,2019T66,8.95841,83.28704,0.025958669336158514,-0.058720123500771826,0.06420206708237602,-3993.492620868621,4.711999893188477,-2.1070001125335693
2020-05-19 06:00:00,2019T66,8.96557,83.28511,0.03025785479716433,-0.061285584736358305,0.06834808463595475,-3988.1219434758423,4.561999797821045,-2.4590001106262207
2020-05-19 07:00:00,2019T66,8.97555,83.28298,0.037806700567740804,-0.06672024472547937,0.07668727185163567,-3984.8806922771287,4.49399995803833,-2.8420000076293945
2020-05-19 08:00:00,2019T66,8.98698,83.28069,0.04636967516618011,-0.0691347308053989,0.08324516669784518,-3981.4850756494757,4.2129998207092285,-2.825000047683716
