datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-05-01 00:00:00,2019P157,66.9746,85.1978,-0.014384967451669553,-0.07535406277240034,0.07671480994496722,-3802.7492810854583,,
2020-05-01 01:00:00,2019P157,66.9682,85.1952,-0.011106273446256485,-0.07234057373481971,0.07318816788351727,-3802.7621489723288,,
2020-05-01 02:00:00,2019P157,66.9658,85.193,-0.004040699448000694,-0.06932619001854658,0.06944384691617178,-3802.766677921014,,
2020-05-01 03:00:00,2019P157,66.965,85.1906,-0.0020218437744223723,-0.07535462024636276,0.07538173946468545,-3802.7677455611824,,
2020-05-01 04:00:00,2019P157,66.9642,85.188,-0.0005048822603945687,-0.08138314405333225,0.08138471012482805,-3802.767917555707,,
2020-05-01 05:00:00,2019P157,66.9646,85.1852,0.003543729357567596,-0.08741162986420185,0.08748343302177797,-3802.7654357808765,,
2020-05-01 06:00:00,2019P157,66.967,85.1822,0.0068359855712800885,-0.09042603683292642,0.09068406054009998,-3802.75794120258,,
2020-05-01 07:00:00,2019P157,66.97,85.1792,0.008360385822136367,-0.09344043540309194,0.09381370379328585,-3802.7483074167917,,
2020-05-01 08:00:00,2019P157,66.9736,85.176,0.009125568821420998,-0.09344067686762084,0.09388522833648338,-3802.7369142980792,,
2020-05-01 09:00:00,2019P157,66.9772,85.173,0.00887763094659089,-0.09042667483361538,0.09086141014032459,-3802.7253284146905,,
2020-05-01 10:00:00,2019P157,66.9806,85.17,0.010153062235077621,-0.08741251001627834,0.08800017943217685,-3802.713012756459,,
2020-05-01 11:00:00,2019P157,66.9852,85.1672,0.010919044904085531,-0.0753558993216537,0.07614287297044053,-3802.6977704936303,,
2020-05-01 12:00:00,2019P157,66.9892,85.165,0.007112710573746028,-0.06932765130926657,0.0696915625292268,-3802.6841260913857,,
2020-05-01 13:00:00,2019P157,66.9908,85.1626,0.001269728566645742,-0.06028489010583566,0.060298260221217315,-3802.6754462459958,,
2020-05-01 14:00:00,2019P157,66.9902,85.161,-0.003814741155321877,-0.04219939981949536,0.04237147147796181,-3802.673481170224,,
2020-05-01 15:00:00,2019P157,66.9878,85.1598,-0.007121759231523679,-0.03315669912724606,0.03391292012738674,-3802.676067906489,,
2020-05-01 16:00:00,2019P157,66.9846,85.1588,-0.007377114854034434,-0.024114053150285607,0.025217243761053956,-3802.6806898000523,,
2020-05-01 17:00:00,2019P157,66.982,85.1582,-0.007633196476358596,-0.021099722863733184,0.022438003328572667,-3802.685058963466,,
2020-05-01 18:00:00,2019P157,66.9786,85.1574,-0.011451693879289777,-0.024113821950442378,0.026694900295048857,-3802.690805852271,,
2020-05-01 19:00:00,2019P157,66.973,85.1566,-0.015525904641174138,-0.027128178764822108,0.031256868013653856,-3802.701629023629,,
2020-05-01 20:00:00,2019P157,66.9664,85.1556,-0.017564867105894274,-0.027128237617137462,0.03231819661830775,-3802.7141809409554,,
2020-05-01 21:00:00,2019P157,66.9592,85.1548,-0.017567865804901304,-0.024114178107513828,0.029834937485101586,-3802.7280620126753,,
2020-05-01 22:00:00,2019P157,66.9526,85.154,-0.01706199456549526,-0.02712833442359024,0.03204774855042302,-3802.7404064569264,,
2020-05-01 23:00:00,2019P157,66.9458,85.153,-0.017573842165334943,-0.024114082796498588,0.029838379942089575,-3802.752739593994,,
2020-05-02 00:00:00,2019P157,66.9388,85.1524,-0.01783070240268724,-0.012057061860714962,0.021524560132237403,-3802.766735036809,,
2020-05-02 01:00:00,2019P157,66.9318,85.1522,-0.016559027335652933,-0.012057211507516912,0.02048359674568652,-3802.7815403196587,,
2020-05-02 02:00:00,2019P157,66.9258,85.1516,-0.014267108204153865,-0.015071436587231883,0.020753278712338116,-3802.79305465128,,
2020-05-02 03:00:00,2019P157,66.9206,85.1512,-0.011975620461895138,-0.015071447925591853,0.019250039688821125,-3802.8033977415416,,
2020-05-02 04:00:00,2019P157,66.9164,85.1506,-0.010193318313562882,-0.02109992536566841,0.023433108813778716,-3802.8110567668764,,
2020-05-02 05:00:00,2019P157,66.9126,85.1498,-0.009939825042992598,-0.02109988141875442,0.0233239172904296,-3802.81739286158,,
2020-05-02 06:00:00,2019P157,66.9086,85.1492,-0.008666666401530304,-0.021100001512632777,0.02281054954069541,-3802.8247336095337,,
2020-05-02 07:00:00,2019P157,66.9058,85.1484,-0.007393770806468133,-0.030142736008701192,0.031036307461243386,-3802.828118249994,,
2020-05-02 08:00:00,2019P157,66.9028,85.1472,-0.008670538426543346,-0.03617126381914228,0.03719594820514938,-3802.830502829583,,
2020-05-02 09:00:00,2019P157,66.899,85.146,-0.009948063618550145,-0.039185620157798445,0.040428663061125095,-3802.8348033798115,,
2020-05-02 10:00:00,2019P157,66.895,85.1446,-0.007909185316172178,-0.05124293926554718,0.051849725524231186,-3802.8390483963963,,
2020-05-02 11:00:00,2019P157,66.8928,85.1426,-0.005870612149443065,-0.054257145858324446,0.05457382123051933,-3802.835743442297,,
2020-05-02 12:00:00,2019P157,66.8904,85.141,-0.00663872027650741,-0.045214328185645164,0.04569910371319045,-3802.834159667149,,
2020-05-02 13:00:00,2019P157,66.8876,85.1396,-0.007917876364427267,-0.04220006478558209,0.0429364441241899,-3802.8339079113925,,
2020-05-02 14:00:00,2019P157,66.8842,85.1382,-0.007970843742437731,-0.042501617134318534,0.04324259253327161,-3802.8348477786485,,
