datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-05-01 00:00:00,2019S81,16.4282,84.1764,0.014692550129690231,-0.018099583470210137,0.02331235618955245,-3987.1872145442253,2.427000045776367,-0.4650000035762787
2020-05-01 01:00:00,2019S81,16.4322,84.1758,0.011938702581304073,-0.012066277178463163,0.016974323676433693,-3987.7006779043286,2.2149999141693115,0.4050000011920929
2020-05-01 02:00:00,2019S81,16.436,84.1756,0.01408262444785608,-0.006032933591782574,0.01532046340885981,-3987.989832423757,2.5929999351501465,1.1929999589920044
2020-05-01 03:00:00,2019S81,16.4414,84.1754,0.018980815048203897,2.650221816932752e-07,0.0189808150500541,-3988.354813052125,2.809999942779541,1.6449999809265137
2020-05-01 04:00:00,2019S81,16.4484,84.1756,0.022960189504591746,0.009049894878836114,0.02467936181113177,-3988.589438801417,2.8310000896453857,1.7389999628067017
2020-05-01 05:00:00,2019S81,16.4564,84.176,0.026325321055641303,0.018099656944707797,0.03194714557200221,-3988.795245944712,2.6080000400543213,1.7649999856948853
2020-05-01 06:00:00,2019S81,16.4656,84.1768,0.02724115725454168,0.024132353363548426,0.036393009320882436,-3988.882245524017,2.384000062942505,2.0160000324249268
2020-05-01 07:00:00,2019S81,16.4742,84.1776,0.02723715593652753,0.024132622163736718,0.03639019257998498,-3988.9638076406663,2.187999963760376,2.315000057220459
2020-05-01 08:00:00,2019S81,16.4834,84.1784,0.022950323086427,0.024131782249668998,0.03330255612286877,-3989.1088235765574,2.1029999256134033,2.9179999828338623
2020-05-01 09:00:00,2019S81,16.4892,84.1792,0.00917977966078011,0.01809888968518405,0.02029379615687843,-3989.1124196938263,2.3489999771118164,3.5769999027252197
2020-05-01 10:00:00,2019S81,16.4894,84.1796,-0.008259542006866146,0.01206663742080012,0.014622714276366074,-3988.9508389274943,1.5440000295639038,4.4120001792907715
2020-05-01 11:00:00,2019S81,16.4838,84.18,-0.023860583771580443,0.011916303694691523,0.026670690873404963,-3988.4342929449663,1.444000005722046,4.414999961853027
2020-05-01 12:00:00,2019S81,16.4738,84.18039,-0.036094577428616596,0.012067344840333834,0.038058367427491295,-3987.6772361717913,0.8870000243186951,4.105999946594238
2020-05-01 13:00:00,2019S81,16.4602,84.1808,-0.04557415379780177,0.012218068310919008,0.047183521356888705,-3986.7317328239646,0.10999999940395355,4.23799991607666
2020-05-01 14:00:00,2019S81,16.444,84.1812,-0.05015892180329721,0.012066377520508154,0.05158987209653372,-3985.644987643386,-0.6069999933242798,4.590000152587891
2020-05-01 15:00:00,2019S81,16.4274,84.1816,-0.04495618970314196,0.015081255946682913,0.04741838539590151,-3984.5340548538743,-0.847000002861023,5.303999900817871
2020-05-01 16:00:00,2019S81,16.4146,84.1822,-0.029664107080466164,0.00904804170315533,0.03101332467736087,-3983.542238169029,-0.46000000834465027,5.954999923706055
2020-05-01 17:00:00,2019S81,16.408,84.1822,-0.014984277052617505,-0.006033541927760352,0.016153395524893262,-3983.1699960014544,0.38199999928474426,5.918000221252441
2020-05-01 18:00:00,2019S81,16.4048,84.1818,-0.007951293889081694,-0.018099381475206237,0.019768932300344058,-3983.1766591975247,0.8840000033378601,5.1579999923706055
2020-05-01 19:00:00,2019S81,16.4028,84.181,-0.008258815464188204,-0.030165416659339653,0.03127555587200778,-3983.4456574261812,0.9959999918937683,4.373000144958496
2020-05-01 20:00:00,2019S81,16.3994,84.1798,-0.013767142354124047,-0.03619838751765241,0.03872799333139854,-3983.924769889601,0.7820000052452087,3.7079999446868896
2020-05-01 21:00:00,2019S81,16.3938,84.1786,-0.020195190924027443,-0.03318177600290513,0.038844253051962416,-3984.3065857570086,0.5849999785423279,3.0869998931884766
2020-05-01 22:00:00,2019S81,16.3862,84.1776,-0.02509534004423673,-0.03016533669660488,0.03923931230227421,-3984.4830848263277,-1.1549999713897705,4.586999893188477
2020-05-01 23:00:00,2019S81,16.3774,84.1766,-0.030609584612830323,-0.0301649839631676,0.04297525948343043,-3984.67654375392,-1.180999994277954,4.27400016784668
2020-05-02 00:00:00,2019S81,16.3662,84.1756,-0.03490031345603018,-0.03016552878422301,0.04613015289548636,-3984.7882143691154,-0.9750000238418579,3.940000057220459
2020-05-02 01:00:00,2019S81,16.3546,84.1746,-0.034599857376590056,-0.030165857493563538,0.0459034757812778,-3984.9143767026835,-0.6899999976158142,3.632999897003174
2020-05-02 02:00:00,2019S81,16.3436,84.1736,-0.029704878421301272,-0.027149803651630153,0.04024290795092174,-3985.12537519863,-0.460999995470047,3.075000047683716
2020-05-02 03:00:00,2019S81,16.3352,84.1728,-0.023891093860375162,-0.03016597825559594,0.03848078234602752,-3985.3423743419994,-0.3009999990463257,2.374000072479248
2020-05-02 04:00:00,2019S81,16.328,84.1716,-0.016541912605459827,-0.03619942441970927,0.03979991458489471,-3985.866174431973,-0.008999999612569809,1.7419999837875366
2020-05-02 05:00:00,2019S81,16.3244,84.1704,-0.005820850142242585,-0.042232278827093274,0.0426315337667764,-3986.465681567008,0.42100000381469727,1.2879999876022339
2020-05-02 06:00:00,2019S81,16.3242,84.1688,0.001839675069286336,-0.048265296101559725,0.04830034380966444,-3987.398939645413,1.0440000295639038,0.609000027179718
2020-05-02 07:00:00,2019S81,16.3256,84.1672,0.006132194072586793,-0.04826532343907061,0.048653316956009975,-3988.338842322956,1.3730000257492065,-0.43799999356269836
2020-05-02 08:00:00,2019S81,16.3282,84.1656,0.008280285773314936,-0.05128203431515727,0.05194622388575256,-3989.2793538686637,1.4850000143051147,-1.3040000200271606
